Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
G Protein-Coupled Serotonin Receptor Activity (GO:0004993),5/21,8.08E-10,9.05E-08,0,0,159.775641,3345.202857,HTR1E;HTR1F;HTR1D;HTR5A;DRD4
Serotonin Receptor Activity (GO:0099589),5/26,2.59E-09,1.44E-07,0,0,121.7032967,2406.281435,HTR1E;HTR1F;HTR1D;HTR5A;DRD4
G Protein-Coupled Amine Receptor Activity (GO:0008227),5/28,3.86E-09,1.44E-07,0,0,111.1092531,2152.568901,HTR1E;HTR1F;HTR1D;HTR5A;DRD4
Epinephrine Binding (GO:0051379),3/5,9.90E-08,2.77E-06,0,0,730.0243902,11773.73853,ADRA2C;ADRA2B;DRD4
Steroid Hydroxylase Activity (GO:0008395),4/23,1.75E-07,3.92E-06,0,0,104.9315789,1632.611643,CYP2C9;CYP1A2;CYP1A1;CYP2C19
"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Flavin Or Flavoprotein As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016712)",4/25,2.49E-07,4.65E-06,0,0,94.92857143,1443.421434,CYP2C9;CYP1A2;CYP2E1;CYP2C19
Arachidonic Acid Epoxygenase Activity (GO:0008392),3/15,4.44E-06,7.10E-05,0,0,121.6097561,1498.89976,CYP2C9;CYP2E1;CYP2C19
Arachidonic Acid Monooxygenase Activity (GO:0008391),3/16,5.45E-06,7.63E-05,0,0,112.249531,1360.395328,CYP2C9;CYP2E1;CYP2C19
Bitter Taste Receptor Activity (GO:0033038),3/26,2.49E-05,3.10E-04,0,0,63.4135737,672.1465533,TAS2R60;TAS2R7;TAS2R8
Heme Binding (GO:0020037),4/87,3.97E-05,4.35E-04,0,0,23.94337349,242.6467116,CYP2C9;CYP1A2;CYP2E1;CYP2C19
Taste Receptor Activity (GO:0008527),3/31,4.28E-05,4.35E-04,0,0,52.07665505,523.8721048,TAS2R60;TAS2R7;TAS2R8
G Protein-Coupled Opioid Receptor Activity (GO:0004985),2/5,4.71E-05,4.40E-04,0,0,316.7142857,3155.487949,OPRD1;OPRM1
Neurotrophin Binding (GO:0043121),2/7,9.86E-05,8.50E-04,0,0,190.0095238,1752.658758,NTRK1;NTRK2
ABC-type Xenobiotic Transporter Activity (GO:0008559),2/10,2.10E-04,0.001596844793,0,0,118.7380952,1005.249888,ABCB1;ABCG2
G Protein-Coupled Receptor Activity (GO:0004930),5/250,2.14E-04,0.001596844793,0,0,10.31449503,87.15928051,TAS2R60;OPRD1;GNAT2;HTR1E;OPRM1
G Protein-Coupled Receptor Binding (GO:0001664),4/140,2.51E-04,0.00169249292,0,0,14.57352941,120.8026385,GNAO1;GNAZ;NPB;GNAT2
Monoamine Transmembrane Transporter Activity (GO:0008504),2/11,2.57E-04,0.00169249292,0,0,105.5396825,872.4794859,SLC6A2;SLC6A4
Sodium:Chloride Symporter Activity (GO:0015378),2/13,3.63E-04,0.002260585458,0,0,86.34199134,683.850896,SLC6A2;SLC6A4
