Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Estrogen 16-Alpha-Hydroxylase Activity (GO:0101020),2/7,3.40E-05,0.001716117406,0,0,332.8166667,3424.511256,CYP3A4;CYP3A5
Retinoic Acid 4-Hydroxylase Activity (GO:0008401),2/9,5.82E-05,0.001716117406,0,0,237.702381,2318.092903,CYP3A4;CYP3A5
Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),4/203,1.29E-04,0.002542753368,0,0,18.06761078,161.7671415,TIAM1;TBXA2R;GCGR;ADRB1
G Protein-Coupled Serotonin Receptor Activity (GO:0004993),2/21,3.36E-04,0.00477056213,0,0,87.52192982,700.0069722,HTR1A;HTR2A
Steroid Hydroxylase Activity (GO:0008395),2/23,4.04E-04,0.00477056213,0,0,79.17857143,618.6531109,CYP3A4;CYP3A5
Serotonin Receptor Activity (GO:0099589),2/26,5.18E-04,0.005070823525,0,0,69.27083333,524.0581728,HTR1A;HTR2A
G Protein-Coupled Amine Receptor Activity (GO:0008227),2/28,6.02E-04,0.005070823525,0,0,63.93589744,474.1409008,HTR1A;HTR2A
GTPase Regulator Activity (GO:0030695),4/424,0.002056900114,0.01516963834,0,0,8.464935065,52.36878829,TIAM1;TBXA2R;GCGR;ADRB1
G Protein-Coupled Peptide Receptor Activity (GO:0008528),2/77,0.004478508329,0.02935911016,0,0,22.11,119.5811667,NPSR1;GCGR
Telethonin Binding (GO:0031433),1/6,0.007775574145,0.04170535223,0,0,159.752,775.8783981,TTN
Myosin Heavy Chain Binding (GO:0032036),1/6,0.007775574145,0.04170535223,0,0,159.752,775.8783981,MYL4
JUN Kinase Binding (GO:0008432),1/9,0.01164154819,0.05240238281,0,0,99.83,444.5604443,GSTP1
Myosin II Binding (GO:0045159),1/10,0.01292698554,0.05240238281,0,0,88.73333333,385.8514207,MYL4
Vinculin Binding (GO:0017166),1/10,0.01292698554,0.05240238281,0,0,88.73333333,385.8514207,SORBS3
Monoamine Transmembrane Transporter Activity (GO:0008504),1/11,0.01421081568,0.05240238281,0,0,79.856,339.6876147,SLC6A3
cAMP Binding (GO:0030552),1/11,0.01421081568,0.05240238281,0,0,79.856,339.6876147,PDE4B
"3',5'-cyclic-AMP Phosphodiesterase Activity (GO:0004115)",1/13,0.01677366182,0.05285867495,0,0,66.54,272.011885,PDE4B
Sodium:Chloride Symporter Activity (GO:0015378),1/13,0.01677366182,0.05285867495,0,0,66.54,272.011885,SLC6A3
Muscle Alpha-Actinin Binding (GO:0051371),1/14,0.01805268162,0.05285867495,0,0,61.41846154,246.5620209,TTN
Adrenergic Receptor Binding (GO:0031690),1/15,0.01933010175,0.05285867495,0,0,57.02857143,225.0399736,ADRB1
Arachidonic Acid Epoxygenase Activity (GO:0008392),1/15,0.01933010175,0.05285867495,0,0,57.02857143,225.0399736,CYP2A6
