Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Monoamine Transmembrane Transporter Activity (GO:0008504),4/11,8.90E-08,1.26E-05,0,0,144.0144665,2338.046293,SLC22A3;SLC22A2;SLC18A2;SLC6A3
G Protein-Coupled Serotonin Receptor Activity (GO:0004993),4/21,1.56E-06,1.11E-04,0,0,59.27029039,792.3528484,HTR1E;HTR1F;HTR1D;HTR5A
Serotonin Receptor Activity (GO:0099589),4/26,3.84E-06,1.82E-04,0,0,45.78826237,570.9247092,HTR1E;HTR1F;HTR1D;HTR5A
G Protein-Coupled Amine Receptor Activity (GO:0008227),4/28,5.23E-06,1.86E-04,0,0,41.96835443,510.3612861,HTR1E;HTR1F;HTR1D;HTR5A
Quaternary Ammonium Group Transmembrane Transporter Activity (GO:0015651),3/17,4.49E-05,0.001276165274,0,0,53.31160714,533.6643665,SLC22A4;SLC22A3;SLC22A2
Alpha-Glucosidase Activity (GO:0090599),2/6,2.52E-04,0.005005876121,0,0,122.9197531,1018.286767,MGAM;SI
Retinoid Binding (GO:0005501),3/30,2.58E-04,0.005005876121,0,0,27.625,228.2477457,CRABP2;ALDH1A2;UGT2B15
G Protein-Coupled Receptor Binding (GO:0001664),5/140,2.93E-04,0.005005876121,0,0,9.393162393,76.4129946,GNAZ;GNA14;GNA15;GNA11;GNAQ
Pyrimidine Nucleoside Transmembrane Transporter Activity (GO:0015214),2/7,3.53E-04,0.005005876121,0,0,98.3308642,781.7682078,SLC22A2;SLC28A3
Retinal Dehydrogenase Activity (GO:0001758),2/7,3.53E-04,0.005005876121,0,0,98.3308642,781.7682078,ALDH1A2;ALDH1A1
Nucleoside Transmembrane Transporter Activity (GO:0005337),2/8,4.69E-04,0.006051381377,0,0,81.9382716,628.0896674,SLC22A2;SLC28A3
Chloride Ion Binding (GO:0031404),2/10,7.49E-04,0.008867023664,0,0,61.44753086,442.197109,NQO2;AMY2A
Sodium:Chloride Symporter Activity (GO:0015378),2/13,0.001288371349,0.01407297935,0,0,44.68237935,297.3333697,SLC6A3;SLC18A2
Aldehyde Dehydrogenase (NAD+) Activity (GO:0004029),2/14,0.001499056002,0.01419106349,0,0,40.95679012,266.3387174,ALDH1A2;ALDH1A1
Aldehyde Dehydrogenase [NAD(P)+] Activity (GO:0004030),2/14,0.001499056002,0.01419106349,0,0,40.95679012,266.3387174,ALDH1A2;ALDH1A1
Ankyrin Binding (GO:0030506),2/18,0.00249339555,0.01967012045,0,0,30.71141975,184.0876228,KCNJ11;SCN5A
GABA-A Receptor Activity (GO:0004890),2/18,0.00249339555,0.01967012045,0,0,30.71141975,184.0876228,GABRQ;GABRA6
TBP-class Protein Binding (GO:0017025),2/18,0.00249339555,0.01967012045,0,0,30.71141975,184.0876228,THRA;ESR1
"Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, NAD Or NADP As Acceptor (GO:0016620)",2/20,0.003079760891,0.02301716034,0,0,27.2962963,157.8518424,ALDH1A2;ALDH1A1
GABA Receptor Activity (GO:0016917),2/21,0.003394806543,0.02410312646,0,0,25.85834958,147.0178664,GABRQ;GABRA6
Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843),3/76,0.003895815321,0.0262571527,0,0,10.19383562,56.55389434,KCNH2;KCNJ11;KCNMA1
Steroid Hydroxylase Activity (GO:0008395),2/23,0.004068009573,0.0262571527,0,0,23.39329806,128.7707824,CYP11A1;CYP1A1
Potassium Channel Activity (GO:0005267),3/79,0.004343479432,0.02662108623,0,0,9.789967105,53.24840978,KCNH2;KCNJ11;KCNMA1
Voltage-Gated Potassium Channel Activity (GO:0005249),3/80,0.004499338518,0.02662108623,0,0,9.662337662,52.21358075,KCNH2;KCNJ11;KCNMA1
GTPase Activity (GO:0003924),5/265,0.004929337948,0.02799863955,0,0,4.846400394,25.74674728,GNAZ;GNA14;GNA15;GNA11;GNAQ
Inward Rectifier Potassium Channel Activity (GO:0005242),2/26,0.005183773071,0.02803191577,0,0,20.46604938,107.6968973,KCNH2;KCNJ11
Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),5/270,0.005330012154,0.02803191577,0,0,4.753749395,24.8830342,GNAZ;GNA14;GNA15;GNA11;GNAQ
General Transcription Initiation Factor Binding (GO:0140296),2/30,0.006864228042,0.03481144221,0,0,17.53880071,87.36833772,THRA;ESR1
GTP Binding (GO:0005525),4/201,0.009812379796,0.04804682521,0,0,5.068431536,23.43698721,GNA14;GNA15;GNA11;GNAQ
Transcription Corepressor Binding (GO:0001222),2/42,0.01315707461,0.06227681984,0,0,12.26975309,53.13779356,NR1D1;ESR1
Transcription Regulatory Region Nucleic Acid Binding (GO:0001067),4/224,0.0141379181,0.06462236764,0,0,4.533256617,19.30666332,KCNH2;THRA;CYP1A1;NR1D1
Guanyl Ribonucleotide Binding (GO:0032561),4/226,0.01456278707,0.06462236764,0,0,4.491960315,18.99778413,GNA14;GNA15;GNA11;GNAQ
Thiamine Transmembrane Transporter Activity (GO:0015234),1/5,0.0205803758,0.07898414496,0,0,60.71036585,235.7636843,SLC22A2
ATP-activated Inward Rectifier Potassium Channel Activity (GO:0015272),1/5,0.0205803758,0.07898414496,0,0,60.71036585,235.7636843,KCNJ11
C3HC4-type RING Finger Domain Binding (GO:0055131),1/5,0.0205803758,0.07898414496,0,0,60.71036585,235.7636843,KCNH2
Uridine Transmembrane Transporter Activity (GO:0015213),1/5,0.0205803758,0.07898414496,0,0,60.71036585,235.7636843,SLC28A3
Epinephrine Binding (GO:0051379),1/5,0.0205803758,0.07898414496,0,0,60.71036585,235.7636843,ADRB3
Amino Acid Transmembrane Transporter Activity (GO:0015171),2/56,0.02267107828,0.08332684346,0,0,9.082304527,34.39164696,SLC22A4;SLC22A2
Insulin-Like Growth Factor II Binding (GO:0031995),1/6,0.02464596778,0.08332684346,0,0,48.56585366,179.846251,IGFBP3
Pyrimidine Nucleobase Transmembrane Transporter Activity (GO:0005350),1/6,0.02464596778,0.08332684346,0,0,48.56585366,179.846251,SLC28A3
RNA Polymerase III Type 3 Promoter Sequence-Specific DNA Binding (GO:0001006),1/6,0.02464596778,0.08332684346,0,0,48.56585366,179.846251,MTOR
Nitric-Oxide Synthase Binding (GO:0050998),1/6,0.02464596778,0.08332684346,0,0,48.56585366,179.846251,SCN5A
Secondary Active Transmembrane Transporter Activity (GO:0015291),2/60,0.02578148794,0.08513886714,0,0,8.454235845,30.92642803,SLC22A4;SLCO1A2
Peptide Transmembrane Transporter Activity (GO:1904680),1/7,0.02869488737,0.09054831127,0,0,40.4695122,143.7087073,SLC15A2
RNA Polymerase III Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000992),1/7,0.02869488737,0.09054831127,0,0,40.4695122,143.7087073,MTOR
Retinal Binding (GO:0016918),1/8,0.03272720179,0.100336594,0,0,34.68641115,118.6118717,ALDH1A2
Type I Transforming Growth Factor Beta Receptor Binding (GO:0034713),1/9,0.03674297809,0.100336594,0,0,30.34908537,100.2675554,FKBP1A
Benzodiazepine Receptor Activity (GO:0008503),1/9,0.03674297809,0.100336594,0,0,30.34908537,100.2675554,GABRA6
G Protein-Coupled Purinergic Nucleotide Receptor Activity (GO:0045028),1/9,0.03674297809,0.100336594,0,0,30.34908537,100.2675554,P2RY12
Potassium Ion Binding (GO:0030955),1/9,0.03674297809,0.100336594,0,0,30.34908537,100.2675554,KCNJ11
Purine Nucleobase Transmembrane Transporter Activity (GO:0005345),1/9,0.03674297809,0.100336594,0,0,30.34908537,100.2675554,SLC28A3
RNA Polymerase II General Transcription Initiation Factor Binding (GO:0001091),1/9,0.03674297809,0.100336594,0,0,30.34908537,100.2675554,ESR1
Calcium Channel Inhibitor Activity (GO:0019855),1/10,0.04074228311,0.1051891673,0,0,26.97560976,86.33513767,FKBP1A
Estrogen Response Element Binding (GO:0034056),1/10,0.04074228311,0.1051891673,0,0,26.97560976,86.33513767,ESR1
Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005230),1/10,0.04074228311,0.1051891673,0,0,26.97560976,86.33513767,GABRA6
Calcium-Activated Potassium Channel Activity (GO:0015269),1/11,0.04472518347,0.1094995871,0,0,24.27682927,75.43341417,KCNMA1
Voltage-Gated Potassium Channel Activity Involved In Ventricular Cardiac Muscle Cell Action Potential Repolarization (GO:1902282),1/11,0.04472518347,0.1094995871,0,0,24.27682927,75.43341417,KCNH2
Prostaglandin Transmembrane Transporter Activity (GO:0015132),1/11,0.04472518347,0.1094995871,0,0,24.27682927,75.43341417,SLC22A2
Purine Ribonucleoside Triphosphate Binding (GO:0035639),5/476,0.04795068051,0.1133479978,0,0,2.646578475,8.039199892,GNA14;GNA15;KCNJ11;GNA11;GNAQ
Insulin-Like Growth Factor I Binding (GO:0031994),1/12,0.04869174554,0.1133479978,0,0,22.06873614,66.69714422,IGFBP3
GABA-gated Chloride Ion Channel Activity (GO:0022851),1/12,0.04869174554,0.1133479978,0,0,22.06873614,66.69714422,GABRA6
Heme Binding (GO:0020037),2/87,0.05073581375,0.1162013799,0,0,5.760929557,17.17404094,CYP11A1;NR1D1
Inhibitory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005237),1/13,0.05264203546,0.1186534767,0,0,20.22865854,59.55803219,GABRA6
Alkali Metal Ion Binding (GO:0031420),1/14,0.05657611909,0.1217243774,0,0,18.67166979,53.62817822,KCNJ11
Voltage-Gated Potassium Channel Activity Involved In Cardiac Muscle Cell Action Potential Repolarization (GO:0086008),1/14,0.05657611909,0.1217243774,0,0,18.67166979,53.62817822,KCNH2
Purinergic Nucleotide Receptor Activity (GO:0001614),1/14,0.05657611909,0.1217243774,0,0,18.67166979,53.62817822,P2RY12
"Oxidoreductase Activity, Acting On NAD(P)H, Quinone Or Similar Compound As Acceptor (GO:0016655)",1/15,0.06049406207,0.1227165259,0,0,17.33710801,48.63422992,NQO2
Insulin-Like Growth Factor Binding (GO:0005520),1/15,0.06049406207,0.1227165259,0,0,17.33710801,48.63422992,IGFBP3
Protein Phosphatase Activator Activity (GO:0072542),1/15,0.06049406207,0.1227165259,0,0,17.33710801,48.63422992,IGFBP3
Sodium-Independent Organic Anion Transmembrane Transporter Activity (GO:0015347),1/15,0.06049406207,0.1227165259,0,0,17.33710801,48.63422992,SLCO1A2
Transcription Coregulator Binding (GO:0001221),2/99,0.06374773135,0.1274954627,0,0,5.04518264,13.88848816,NR1D1;ESR1
Basic Amino Acid Transmembrane Transporter Activity (GO:0015174),1/17,0.06828178733,0.1328221069,0,0,15.16844512,40.71380868,SLC22A2
Chemokine Binding (GO:0019956),1/17,0.06828178733,0.1328221069,0,0,15.16844512,40.71380868,ACKR3
Transforming Growth Factor Beta Receptor Binding (GO:0005160),1/18,0.07215169959,0.1348097545,0,0,14.27546628,37.5299787,FKBP1A
Calcium Activated Cation Channel Activity (GO:0005227),1/18,0.07215169959,0.1348097545,0,0,14.27546628,37.5299787,KCNMA1
Ligand-Gated Monoatomic Anion Channel Activity (GO:0099095),1/18,0.07215169959,0.1348097545,0,0,14.27546628,37.5299787,GABRA6
Voltage-Gated Sodium Channel Activity (GO:0005248),1/19,0.07600573116,0.1366178965,0,0,13.48170732,34.74163891,SCN5A
Chemokine Receptor Activity (GO:0004950),1/19,0.07600573116,0.1366178965,0,0,13.48170732,34.74163891,ACKR3
Retinoic Acid Binding (GO:0001972),1/19,0.07600573116,0.1366178965,0,0,13.48170732,34.74163891,UGT2B15
Fibroblast Growth Factor Binding (GO:0017134),1/20,0.07984394641,0.1399733382,0,0,12.77150193,32.28228556,SCN5A
Solute:Proton Symporter Activity (GO:0015295),1/20,0.07984394641,0.1399733382,0,0,12.77150193,32.28228556,SLC15A2
G Protein-Coupled Receptor Activity (GO:0004930),3/250,0.08578036611,0.1485464877,0,0,2.986336032,7.334337168,P2RY12;GNRHR2;HTR1E
High Voltage-Gated Calcium Channel Activity (GO:0008331),1/23,0.09126433389,0.1561389809,0,0,11.02827051,26.40162683,SCN5A
Active Monoatomic Ion Transmembrane Transporter Activity (GO:0022853),1/24,0.09503992225,0.1606627257,0,0,10.54825027,24.82486652,SLC18A2
FAD Binding (GO:0071949),1/25,0.09880001227,0.1650541381,0,0,10.10823171,23.39709484,NQO2
NAD Binding (GO:0051287),1/26,0.1025446667,0.1693179381,0,0,9.703414634,22.09910766,ALDH1A1
Voltage-Gated Monoatomic Ion Channel Activity (GO:0005244),1/27,0.1062739483,0.1734586282,0,0,9.329737336,20.91479967,KCNJ11
Delayed Rectifier Potassium Channel Activity (GO:0005251),1/28,0.1099879192,0.175486343,0,0,8.983739837,19.83057027,KCNH2
Monocarboxylic Acid Binding (GO:0033293),1/28,0.1099879192,0.175486343,0,0,8.983739837,19.83057027,UGT2B15
Glucuronosyltransferase Activity (GO:0015020),1/30,0.1173701773,0.1851840575,0,0,8.36333053,17.91778692,UGT2B15
Adenyl Nucleotide Binding (GO:0030554),1/31,0.1210385879,0.1888734008,0,0,8.084146341,17.07085428,ALDH1A1
Transcription Coactivator Binding (GO:0001223),1/34,0.1319536813,0.1984518842,0,0,7.348115299,14.88216964,ESR1
Nuclear Estrogen Receptor Binding (GO:0030331),1/34,0.1319536813,0.1984518842,0,0,7.348115299,14.88216964,ESR1
Solute:Sodium Symporter Activity (GO:0015370),1/34,0.1319536813,0.1984518842,0,0,7.348115299,14.88216964,SLC28A3
Transcription Cis-Regulatory Region Binding (GO:0000976),4/474,0.1343794186,0.1984518842,0,0,2.095017506,4.204884492,KCNH2;THRA;CYP1A1;NR1D1
Ion Channel Inhibitor Activity (GO:0008200),1/35,0.1355622026,0.1984518842,0,0,7.131635581,14.25132342,FKBP1A
Hsp90 Protein Binding (GO:0051879),1/35,0.1355622026,0.1984518842,0,0,7.131635581,14.25132342,CYP1A1
Calcium Channel Regulator Activity (GO:0005246),1/37,0.1427348427,0.2047307845,0,0,6.734756098,13.11099834,FKBP1A
Sodium Channel Activity (GO:0005272),1/37,0.1427348427,0.2047307845,0,0,6.734756098,13.11099834,SCN5A
Transmitter-Gated Monoatomic Ion Channel Activity (GO:0022824),1/40,0.1533836955,0.2178048476,0,0,6.21575985,11.6533854,GABRA6
Copper Ion Binding (GO:0005507),1/45,0.1708421124,0.2378390192,0,0,5.508037694,9.732787805,DBH
Proton Transmembrane Transporter Activity (GO:0015078),1/45,0.1708421124,0.2378390192,0,0,5.508037694,9.732787805,SLC18A2
Sequence-Specific Double-Stranded DNA Binding (GO:1990837),5/715,0.1757217829,0.2422572152,0,0,1.734109787,3.015362549,KCNH2;THRA;CYP1A1;NR1D1;ESR1
Voltage-Gated Calcium Channel Activity (GO:0005245),1/47,0.1777254598,0.2426636086,0,0,5.268027572,9.100598124,SCN5A
Antiporter Activity (GO:0015297),1/53,0.1980385683,0.2678235876,0,0,4.658771107,7.543917669,SLC18A2
