Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Monoamine Transmembrane Transporter Activity (GO:0008504),4/11,1.18E-07,2.14E-05,0,0,133.8084034,2134.550324,SLC22A3;SLC6A2;SLC6A3;SLC6A4
Calmodulin-Dependent Protein Kinase Activity (GO:0004683),4/23,3.04E-06,2.75E-04,0,0,49.26811146,625.8738123,CAMK2B;CAMK2D;CAMK2A;CAMK2G
"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, NAD(P)H As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016709)",4/27,5.95E-06,3.59E-04,0,0,40.6915601,489.6392654,CYP27A1;CYP27B1;AKR1C3;FMO1
Sodium:Chloride Symporter Activity (GO:0015378),3/13,2.36E-05,0.001067353544,0,0,69.42209302,739.6768289,SLC6A2;SLC6A3;SLC6A4
Voltage-Gated Sodium Channel Activity (GO:0005248),3/19,7.84E-05,0.002837665083,0,0,43.37572674,410.0668698,SCN10A;SCN5A;SCN2A
High Voltage-Gated Calcium Channel Activity (GO:0008331),3/23,1.41E-04,0.00426660086,0,0,34.69360465,307.5128495,SCN10A;SCN5A;SCN2A
Epinephrine Binding (GO:0051379),2/5,1.94E-04,0.005018994143,0,0,152.5517241,1303.876766,ADRA2C;ADRA2B
Voltage-Gated Monoatomic Ion Channel Activity (GO:0005244),3/27,2.31E-04,0.005217488258,0,0,28.90552326,242.0778218,KCNJ11;GRIN2B;GRIN1
Bile Acid Binding (GO:0032052),2/8,5.39E-04,0.01073718326,0,0,76.26436782,573.9799435,CYP27B1;AKR1C3
Sodium Channel Activity (GO:0005272),3/37,5.93E-04,0.01073718326,0,0,20.39363885,151.5238073,SCN10A;SCN5A;SCN2A
Glycine Binding (GO:0016594),2/9,6.91E-04,0.01136554852,0,0,65.36617406,475.7200013,GRIN2B;GRIN1
Estrogen Response Element Binding (GO:0034056),2/10,8.61E-04,0.01298535926,0,0,57.19252874,403.6375955,ESR2;NR3C2
Voltage-Gated Calcium Channel Activity (GO:0005245),3/47,0.001198880992,0.01669211227,0,0,15.75079281,105.9456077,SCN10A;SCN5A;SCN2A
Alkali Metal Ion Binding (GO:0031420),2/14,0.001720907217,0.02224887188,0,0,38.12068966,242.6345177,KCNJ11;SLC6A4
"Oxidoreductase Activity, Acting On NAD(P)H, Quinone Or Similar Compound As Acceptor (GO:0016655)",2/15,0.001979927427,0.02239792902,0,0,35.18656057,219.0256107,NQO1;AKR1C3
Adrenergic Receptor Binding (GO:0031690),2/15,0.001979927427,0.02239792902,0,0,35.18656057,219.0256107,DLG4;ADRA2C
Hexose Transmembrane Transporter Activity (GO:0015149),2/16,0.002256241133,0.02268775806,0,0,32.67159278,199.1024855,SLC2A2;PPBP
Ionotropic Glutamate Receptor Activity (GO:0004970),2/16,0.002256241133,0.02268775806,0,0,32.67159278,199.1024855,GRIN2B;GRIN1
Glutamate Receptor Binding (GO:0035254),2/18,0.002860127913,0.02465157868,0,0,28.58477011,167.4178237,DLG4;CAMK2A
Ankyrin Binding (GO:0030506),2/18,0.002860127913,0.02465157868,0,0,28.58477011,167.4178237,KCNJ11;SCN5A
Ligand-Gated Calcium Channel Activity (GO:0099604),2/18,0.002860127913,0.02465157868,0,0,28.58477011,167.4178237,GRIN2B;GRIN1
"Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, NAD Or NADP As Acceptor (GO:0016620)",2/20,0.003531335429,0.02905325967,0,0,25.40613027,143.4450229,ALDH2;AKR1C3
Steroid Hydroxylase Activity (GO:0008395),2/23,0.004661717238,0.0351571175,0,0,21.77339901,116.8876924,CYP27A1;CYP11B2
Ligand-Gated Monoatomic Ion Channel Activity (GO:0015276),2/23,0.004661717238,0.0351571175,0,0,21.77339901,116.8876924,GRIN2B;GRIN1
Glucose Transmembrane Transporter Activity (GO:0005355),2/24,0.005070864187,0.03671305672,0,0,20.78265413,109.8206159,SLC2A2;PPBP
Amyloid-Beta Binding (GO:0001540),3/79,0.005278511558,0.03674656123,0,0,9.104192166,47.74339541,BCHE;GRIN2B;GRIN1
Protein Homodimerization Activity (GO:0042803),8/662,0.009286527778,0.06225413066,0,0,2.908143618,13.60775815,CAMK2B;CAMK2D;MME;CAMK2A;FYN;ADRA2C;CAMK2G;ADRA2A
Inorganic Cation Transmembrane Transporter Activity (GO:0022890),2/35,0.01059106124,0.06846364585,0,0,13.84743992,62.97462444,GRIN2B;GRIN1
Amino Acid Binding (GO:0016597),2/36,0.01118189797,0.06979046665,0,0,13.43948614,60.38978077,GRIN2B;GRIN1
Transmitter-Gated Monoatomic Ion Channel Activity (GO:0022824),2/40,0.01368622346,0.08257354823,0,0,12.02238355,51.59244244,GABRA1;GRIN2B
Protein Serine/Threonine Kinase Activity (GO:0004674),5/342,0.01833077987,0.1011677433,0,0,3.457326551,13.82644932,CAMK2B;CAMK2D;CAMK2A;FYN;CAMK2G
ATP-activated Inward Rectifier Potassium Channel Activity (GO:0015272),1/5,0.02205488106,0.1011677433,0,0,56.55397727,215.7093869,KCNJ11
L-leucine Transmembrane Transporter Activity (GO:0015190),1/5,0.02205488106,0.1011677433,0,0,56.55397727,215.7093869,SLC7A5
"Cytochrome-B5 Reductase Activity, Acting On NAD(P)H (GO:0004128)",1/5,0.02205488106,0.1011677433,0,0,56.55397727,215.7093869,NQO1
Exopeptidase Activity (GO:0008238),2/52,0.02248098211,0.1011677433,0,0,9.131494253,34.65480204,MME;LTA4H
Antiporter Activity (GO:0015297),2/53,0.02329596113,0.1011677433,0,0,8.951994591,33.65480233,SLC7A5;SLC22A11
Ubiquitin Ligase Activator Activity (GO:1990757),1/6,0.02640780878,0.1011677433,0,0,45.24090909,164.4097853,CDC20
Pyrimidine Nucleobase Transmembrane Transporter Activity (GO:0005350),1/6,0.02640780878,0.1011677433,0,0,45.24090909,164.4097853,SLC28A1
