Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
G Protein-Coupled Serotonin Receptor Activity (GO:0004993),7/21,5.17E-12,8.38E-10,0,0,111.741573,2903.938243,HTR6;HTR7;HTR1A;HTR2B;HTR1B;HTR2C;DRD4
Serotonin Receptor Activity (GO:0099589),7/26,2.87E-11,2.32E-09,0,0,82.31519811,1998.16452,HTR6;HTR7;HTR2B;HTR1A;HTR2C;HTR1B;DRD4
G Protein-Coupled Amine Receptor Activity (GO:0008227),7/28,5.12E-11,2.77E-09,0,0,74.46816479,1764.489981,HTR6;HTR7;HTR2B;HTR1A;HTR2C;HTR1B;DRD4
ABC-type Glutathione S-conjugate Transporter Activity (GO:0015431),4/6,7.42E-09,3.01E-07,0,0,432.6521739,8098.825835,ABCC3;ABCC6;ABCC10;ABCC11
"3',5'-cyclic-AMP Phosphodiesterase Activity (GO:0004115)",4/13,3.45E-07,1.12E-05,0,0,96.11111111,1430.184024,PDE4D;PDE4C;PDE4B;PDE4A
"3',5'-Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004114)",4/16,8.68E-07,2.34E-05,0,0,72.07246377,1005.933805,PDE4D;PDE4C;PDE4B;PDE4A
ABC-type Xenobiotic Transporter Activity (GO:0008559),3/10,1.25E-05,2.90E-04,0,0,91.69124424,1034.809685,ABCC3;ABCC10;ABCC11
cAMP Binding (GO:0030552),3/11,1.72E-05,3.10E-04,0,0,80.22580645,880.1444325,PDE4D;PDE4B;PDE4A
Prostaglandin Transmembrane Transporter Activity (GO:0015132),3/11,1.72E-05,3.10E-04,0,0,80.22580645,880.1444325,SLC22A2;SLCO2B1;SLC22A8
Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315),4/34,2.07E-05,3.35E-04,0,0,28.80289855,310.6534757,GRIA2;CHRNA7;GRIK2;GRIA4
Transmitter-Gated Monoatomic Ion Channel Activity (GO:0022824),4/40,3.99E-05,5.88E-04,0,0,23.99516908,243.0512827,GRIA2;GABRA6;GRIK2;GRIA4
Sodium-Independent Organic Anion Transmembrane Transporter Activity (GO:0015347),3/15,4.68E-05,6.31E-04,0,0,53.47311828,533.1498864,SLCO1C1;SLCO2B1;SLCO1A2
Ionotropic Glutamate Receptor Activity (GO:0004970),3/16,5.74E-05,7.15E-04,0,0,49.3573201,482.0370576,GRIA2;GRIK2;GRIA4
Quaternary Ammonium Group Transmembrane Transporter Activity (GO:0015651),3/17,6.94E-05,8.03E-04,0,0,45.82949309,438.8449133,SLC22A4;SLC22A5;SLC22A2
Postsynaptic Neurotransmitter Receptor Activity (GO:0098960),3/19,9.82E-05,0.001060677012,0,0,40.09677419,370.0288311,CHRNA7;DRD4;DRD5
Cyclic Nucleotide Binding (GO:0030551),3/21,1.34E-04,0.001275643525,0,0,35.63799283,317.844121,PDE4D;PDE4B;PDE4A
Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:0099529),3/21,1.34E-04,0.001275643525,0,0,35.63799283,317.844121,GRIA2;GRIK2;GRIA4
Secondary Active Transmembrane Transporter Activity (GO:0015291),4/60,1.98E-04,0.001780488575,0,0,15.40993789,131.4173688,SLCO1C1;SLC22A4;SLCO2B1;SLCO1A2
"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, NAD(P)H As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016709)",3/27,2.88E-04,0.002458290653,0,0,26.72043011,217.8101534,CYP4F2;AKR1D1;AKR1C4
alditol:NADP+ 1-Oxidoreductase Activity (GO:0004032),2/10,0.001000617433,0.008105001208,0,0,52.91489362,365.4904744,AKR1D1;AKR1C4
Aldo-Keto Reductase (NADP) Activity (GO:0004033),2/14,0.00199831995,0.01541561104,0,0,35.26950355,219.2157821,AKR1D1;AKR1C4
"Oxidoreductase Activity, Acting On NAD(P)H, Quinone Or Similar Compound As Acceptor (GO:0016655)",2/15,0.002298561158,0.01692576853,0,0,32.55482815,197.7859448,CBR1;AKR1C4
Glutamate Receptor Activity (GO:0008066),2/16,0.002618735301,0.01844500516,0,0,30.22796353,179.7071713,GRIA2;GRIA4
PDZ Domain Binding (GO:0030165),3/62,0.003302135131,0.02228941214,0,0,10.85019136,61.9891615,SLC22A12;SLC22A4;SLC22A5
Alcohol Dehydrogenase (NADP+) Activity (GO:0008106),2/19,0.00369691993,0.02395604115,0,0,24.88986233,139.3895824,AKR1D1;AKR1C4
Amyloid-Beta Binding (GO:0001540),3/79,0.006511583984,0.04057217713,0,0,8.415959253,42.36739094,GRIA2;CHRNA7;GRIA4
Excitatory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005231),2/26,0.006874730397,0.04123238342,0,0,17.62411348,87.76637295,CHRNA7;GRIK2
G Protein-Coupled Receptor Activity (GO:0004930),5/250,0.007126584788,0.04123238342,0,0,4.408836062,21.79694668,GABBR1;GNRHR2;PTGDR2;DRD3;DRD5
Glutathione Transferase Activity (GO:0004364),2/28,0.007946251206,0.04438940329,0,0,16.26677578,78.65075569,GSTP1;GSTT1
"Oxidoreductase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0016616)",3/95,0.01078801973,0.05825530654,0,0,6.946704067,31.46383903,CBR1;AKR1D1;AKR1C4
Inorganic Cation Transmembrane Transporter Activity (GO:0022890),2/35,0.01223901689,0.06395873341,0,0,12.81173436,56.41168485,GRIA2;GRIA4
Hydro-Lyase Activity (GO:0016836),2/46,0.02057705575,0.1041713448,0,0,9.603481625,37.29587594,CA12;TBXAS1
Thiamine Transmembrane Transporter Activity (GO:0015234),1/5,0.02377289242,0.1059744149,0,0,52.36842105,195.8164881,SLC22A2
Ceramide 1-Phosphate Transfer Activity (GO:1902388),1/5,0.02377289242,0.1059744149,0,0,52.36842105,195.8164881,MTTP
Epinephrine Binding (GO:0051379),1/5,0.02377289242,0.1059744149,0,0,52.36842105,195.8164881,DRD4
Nuclear Receptor Coactivator Activity (GO:0030374),2/50,0.02405564447,0.1059744149,0,0,8.80141844,32.80628046,NCOA1;NCOA2
RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),4/228,0.02420403304,0.1059744149,0,0,3.819875776,14.21465927,NCOA1;NCOA2;HDAC2;AHR
Patched Binding (GO:0005113),1/6,0.02845993752,0.109514361,0,0,41.89263158,149.1066791,SMO
Aryl Hydrocarbon Receptor Binding (GO:0017162),1/6,0.02845993752,0.109514361,0,0,41.89263158,149.1066791,NCOA2
Ceramide Transfer Activity (GO:0120017),1/6,0.02845993752,0.109514361,0,0,41.89263158,149.1066791,MTTP
Flavin Adenine Dinucleotide Binding (GO:0050660),2/55,0.02871548917,0.109514361,0,0,7.969088719,28.29280398,POR;AOX1
Amino Acid Transmembrane Transporter Activity (GO:0015171),2/56,0.02968750998,0.109514361,0,0,7.821118991,27.50710122,SLC22A4;SLC22A2
"Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Linear Amides (GO:0016811)",2/56,0.02968750998,0.109514361,0,0,7.821118991,27.50710122,HDAC2;KLK3
Thyroid Hormone Transmembrane Transporter Activity (GO:0015349),1/7,0.03312471412,0.109514361,0,0,34.90877193,118.9507894,SLCO1C1
Androsterone Dehydrogenase Activity (GO:0047023),1/7,0.03312471412,0.109514361,0,0,34.90877193,118.9507894,AKR1C4
"Hydroxymethyl-, Formyl- And Related Transferase Activity (GO:0016742)",1/7,0.03312471412,0.109514361,0,0,34.90877193,118.9507894,SHMT1
Urate Transmembrane Transporter Activity (GO:0015143),1/7,0.03312471412,0.109514361,0,0,34.90877193,118.9507894,SLC22A12
Pyrimidine Nucleoside Transmembrane Transporter Activity (GO:0015214),1/7,0.03312471412,0.109514361,0,0,34.90877193,118.9507894,SLC22A2
Retinal Dehydrogenase Activity (GO:0001758),1/7,0.03312471412,0.109514361,0,0,34.90877193,118.9507894,AKR1C4
"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Iron-Sulfur Protein As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016713)",1/8,0.03776732657,0.1154397529,0,0,29.92030075,98.02820828,CYP4F2
Bile Acid Binding (GO:0032052),1/8,0.03776732657,0.1154397529,0,0,29.92030075,98.02820828,AKR1C4
Cyclic-Nucleotide Phosphodiesterase Activity (GO:0004112),1/8,0.03776732657,0.1154397529,0,0,29.92030075,98.02820828,PDE4D
Nucleoside Transmembrane Transporter Activity (GO:0005337),1/8,0.03776732657,0.1154397529,0,0,29.92030075,98.02820828,SLC22A2
"Oxidoreductase Activity, Acting On NAD(P)H, Heme Protein As Acceptor (GO:0016653)",1/9,0.04238787884,0.1204708135,0,0,26.17894737,82.74884714,POR
Benzodiazepine Receptor Activity (GO:0008503),1/9,0.04238787884,0.1204708135,0,0,26.17894737,82.74884714,GABRA6
JUN Kinase Binding (GO:0008432),1/9,0.04238787884,0.1204708135,0,0,26.17894737,82.74884714,GSTP1
Prostaglandin Receptor Activity (GO:0004955),1/9,0.04238787884,0.1204708135,0,0,26.17894737,82.74884714,PTGDR2
FMN Binding (GO:0010181),1/10,0.04698647446,0.1268634811,0,0,23.26900585,71.15418818,POR
Ligand-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential (GO:0099507),1/10,0.04698647446,0.1268634811,0,0,23.26900585,71.15418818,GRIA4
Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005230),1/10,0.04698647446,0.1268634811,0,0,23.26900585,71.15418818,GABRA6
Ligand-Gated Monoatomic Cation Channel Activity (GO:0099094),2/75,0.05046789423,0.1307993523,0,0,5.779947537,17.2613388,CHRNA7;GRIK2
Calcium-Activated Potassium Channel Activity (GO:0015269),1/11,0.05156321656,0.1307993523,0,0,20.94105263,62.08910527,KCNMA1
Monoamine Transmembrane Transporter Activity (GO:0008504),1/11,0.05156321656,0.1307993523,0,0,20.94105263,62.08910527,SLC22A2
Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843),2/76,0.05167381819,0.1307993523,0,0,5.701552616,16.89258315,CACNA1I;KCNMA1
Potassium Channel Activity (GO:0005267),2/79,0.05535297546,0.1377446918,0,0,5.478585245,15.85516192,KCNMA1;GRIK2
GABA-gated Chloride Ion Channel Activity (GO:0022851),1/12,0.05611820777,0.1377446918,0,0,19.03636364,54.83034224,GABRA6
Inhibitory Extracellular Ligand-Gated Monoatomic Ion Channel Activity (GO:0005237),1/13,0.06065155033,0.1423992921,0,0,17.44912281,48.9030875,GABRA6
Carbonate Dehydratase Activity (GO:0004089),1/13,0.06065155033,0.1423992921,0,0,17.44912281,48.9030875,CA12
Chloride Channel Regulator Activity (GO:0017081),1/13,0.06065155033,0.1423992921,0,0,17.44912281,48.9030875,CHRNA7
Adenyl Ribonucleotide Binding (GO:0032559),4/309,0.06164079153,0.1426544033,0,0,2.793870278,7.784927947,PDE4D;ABCC6;PDE4B;PDE4A
Protein Heterodimerization Activity (GO:0046982),3/190,0.06353781061,0.144973596,0,0,3.401242022,9.374231527,MTTP;AGTR1;AHR
Solute:Inorganic Anion Antiporter Activity (GO:0005452),1/14,0.06516334596,0.1466175284,0,0,16.10607287,43.98340032,SLC22A8
Adrenergic Receptor Binding (GO:0031690),1/15,0.06965369596,0.1524851182,0,0,14.95488722,39.84310238,PDE4D
Arachidonic Acid Epoxygenase Activity (GO:0008392),1/15,0.06965369596,0.1524851182,0,0,14.95488722,39.84310238,CYP4F2
Calcium Channel Activity (GO:0005262),2/91,0.07093230504,0.1532137789,0,0,4.737030839,12.53432243,CACNA1I;CHRNA7
Arachidonic Acid Monooxygenase Activity (GO:0008391),1/16,0.07412270113,0.1539471485,0,0,13.95719298,36.31708281,CYP4F2
Calcium-Dependent Phospholipase A2 Activity (GO:0047498),1/16,0.07412270113,0.1539471485,0,0,13.95719298,36.31708281,PLA2G2A
Acetylcholine-Gated Monoatomic Cation-Selective Channel Activity (GO:0022848),1/16,0.07412270113,0.1539471485,0,0,13.95719298,36.31708281,CHRNA7
Phosphatidylcholine Transporter Activity (GO:0008525),1/17,0.07857046187,0.1563433331,0,0,13.08421053,33.28308422,MTTP
Basic Amino Acid Transmembrane Transporter Activity (GO:0015174),1/17,0.07857046187,0.1563433331,0,0,13.08421053,33.28308422,SLC22A2
"Oxidoreductase Activity, Acting On The CH-CH Group Of Donors, NAD Or NADP As Acceptor (GO:0016628)",1/18,0.08299707804,0.1563433331,0,0,12.31393189,30.64875925,TBXAS1
Histone Deacetylase Activity (GO:0004407),1/18,0.08299707804,0.1563433331,0,0,12.31393189,30.64875925,HDAC2
Calcium Activated Cation Channel Activity (GO:0005227),1/18,0.08299707804,0.1563433331,0,0,12.31393189,30.64875925,KCNMA1
GABA-A Receptor Activity (GO:0004890),1/18,0.08299707804,0.1563433331,0,0,12.31393189,30.64875925,GABRA6
Ligand-Gated Monoatomic Anion Channel Activity (GO:0099095),1/18,0.08299707804,0.1563433331,0,0,12.31393189,30.64875925,GABRA6
Cholesterol Transfer Activity (GO:0120020),1/18,0.08299707804,0.1563433331,0,0,12.31393189,30.64875925,MTTP
Sterol Transfer Activity (GO:0120015),1/19,0.08740264908,0.1627497604,0,0,11.62923977,28.34312839,MTTP
"Oxidoreductase Activity, Acting On The Aldehyde Or Oxo Group Of Donors, NAD Or NADP As Acceptor (GO:0016620)",1/20,0.09178727401,0.1634015208,0,0,11.0166205,26.31079223,AKR1C4
Pyridoxal Phosphate Binding (GO:0030170),1/20,0.09178727401,0.1634015208,0,0,11.0166205,26.31079223,SHMT1
Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process (GO:0008656),1/20,0.09178727401,0.1634015208,0,0,11.0166205,26.31079223,CTSL
Acetylcholine Receptor Activity (GO:0015464),1/20,0.09178727401,0.1634015208,0,0,11.0166205,26.31079223,CHRNA7
GABA Receptor Activity (GO:0016917),1/21,0.09615105131,0.1693094599,0,0,10.46526316,24.50791822,GABRA6
"Steroid Dehydrogenase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0033764)",1/22,0.1004940791,0.1731919235,0,0,9.96641604,22.89940028,AKR1C4
Peptidase Activator Activity Involved In Apoptotic Process (GO:0016505),1/22,0.1004940791,0.1731919235,0,0,9.96641604,22.89940028,CTSL
High Voltage-Gated Calcium Channel Activity (GO:0008331),1/23,0.1048164549,0.1745659043,0,0,9.51291866,21.45681143,CACNA1I
Phospholipid Transfer Activity (GO:0120014),1/23,0.1048164549,0.1745659043,0,0,9.51291866,21.45681143,MTTP
Ligand-Gated Monoatomic Ion Channel Activity (GO:0015276),1/23,0.1048164549,0.1745659043,0,0,9.51291866,21.45681143,GRIA4
Nuclear Receptor Binding (GO:0016922),2/115,0.1056015965,0.1745659043,0,0,3.726416871,8.377289909,NCOA1;NCOA2
mRNA 5'-UTR Binding (GO:0048027),1/24,0.109118276,0.1785571788,0,0,9.098855835,20.15690355,SHMT1
"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Reduced Flavin Or Flavoprotein As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016712)",1/25,0.113399639,0.1837074151,0,0,8.719298246,18.98049166,CYP4F2
NF-kappaB Binding (GO:0051059),1/26,0.1176606402,0.188723007,0,0,8.370105263,17.91161286,HDAC2
Carboxy-Lyase Activity (GO:0016831),1/27,0.1219013754,0.1936080668,0,0,8.047773279,16.9368846,DDC
Monocarboxylic Acid Binding (GO:0033293),1/28,0.12612194,0.1964591757,0,0,7.749317739,16.04500936,AKR1C4
Neuropeptide Binding (GO:0042923),1/28,0.12612194,0.1964591757,0,0,7.749317739,16.04500936,PTGDR2
Phospholipase A2 Activity (GO:0004623),1/31,0.1386635572,0.2139380596,0,0,6.973333333,13.77724766,PLA2G2A
Inorganic Anion Transmembrane Transporter Activity (GO:0015103),1/32,0.1428043842,0.2182482098,0,0,6.748047538,13.13358678,SLC22A8
Nuclear Estrogen Receptor Binding (GO:0030331),1/34,0.1510270298,0.2265405447,0,0,6.338437002,11.98152498,NCOA1
Nucleosomal DNA Binding (GO:0031492),1/34,0.1510270298,0.2265405447,0,0,6.338437002,11.98152498,HDAC2
Amino Acid Binding (GO:0016597),1/36,0.1591716136,0.2360786395,0,0,5.975639098,10.98186417,SHMT1
Methyltransferase Activity (GO:0008168),1/37,0.1632148618,0.2360786395,0,0,5.809356725,10.53054992,DNMT1
Monoatomic Ion Channel Activity (GO:0005216),1/37,0.1632148618,0.2360786395,0,0,5.809356725,10.53054992,CHRNA7
Sodium Channel Activity (GO:0005272),1/37,0.1632148618,0.2360786395,0,0,5.809356725,10.53054992,GRIK2
Promoter-Specific Chromatin Binding (GO:1990841),1/42,0.1831442939,0.2625608462,0,0,5.099614891,8.656499106,DNMT1
Signaling Receptor Complex Adaptor Activity (GO:0030159),1/44,0.1909838962,0.2713981683,0,0,4.861933905,8.049253281,NCOA2
Potassium Channel Regulator Activity (GO:0015459),1/45,0.19487573,0.2721540367,0,0,4.751196172,7.77007394,DRD4
Copper Ion Binding (GO:0005507),1/45,0.19487573,0.2721540367,0,0,4.751196172,7.77007394,DBH
Voltage-Gated Calcium Channel Activity (GO:0005245),1/47,0.2026039011,0.2805284785,0,0,4.54416476,7.254770091,CACNA1I
S-adenosylmethionine-dependent Methyltransferase Activity (GO:0008757),1/50,0.2140587201,0.2938772259,0,0,4.265306122,6.574990324,DNMT1
Channel Activity (GO:0015267),1/52,0.2216046451,0.3016802732,0,0,4.097626419,6.174550832,CHRNA7
Antiporter Activity (GO:0015297),1/53,0.2253506771,0.3042234141,0,0,4.018623482,5.988140905,SLC22A8
Iron Ion Binding (GO:0005506),1/56,0.2364820634,0.3166123494,0,0,3.798851675,5.477499329,AOX1
Carboxylic Acid Transmembrane Transporter Activity (GO:0046943),1/59,0.2474551388,0.3259165242,0,0,3.601814882,5.030028025,SLC22A4
SH3 Domain Binding (GO:0017124),1/59,0.2474551388,0.3259165242,0,0,3.601814882,5.030028025,DRD4
Nucleosome Binding (GO:0031491),1/62,0.2582721312,0.3374200424,0,0,3.424158758,4.635425737,HDAC2
L-amino Acid Transmembrane Transporter Activity (GO:0015179),1/63,0.2618434909,0.3393491642,0,0,3.368760611,4.514167236,SLC22A2
Chloride Channel Activity (GO:0005254),1/64,0.265397833,0.3412257853,0,0,3.315121136,4.397592133,GABRA6
Calcium Ion Transmembrane Transporter Activity (GO:0015085),1/68,0.2794466251,0.3564594745,0,0,3.11657502,3.973458529,CHRNA7
ATPase Binding (GO:0051117),1/73,0.2966342387,0.3754277083,0,0,2.899415205,3.523530039,PDE4D
Phospholipase Activity (GO:0004620),1/77,0.3100916857,0.3894174658,0,0,2.746260388,3.215561314,PLA2G2A
Voltage-Gated Potassium Channel Activity (GO:0005249),1/80,0.3200172632,0.3987907433,0,0,2.641572285,3.009755521,KCNMA1
Chromatin DNA Binding (GO:0031490),1/83,0.3298015093,0.4078461413,0,0,2.544544288,2.822572118,HDAC2
Heme Binding (GO:0020037),1/87,0.3426307603,0.4205013877,0,0,2.425703794,2.598175972,TBXAS1
Transition Metal Ion Binding (GO:0046914),3/456,0.3749655406,0.4567249442,0,0,1.385102898,1.358676726,SHMT1;AOX1;DBH
Histone Deacetylase Binding (GO:0042826),1/99,0.3796782145,0.4590139608,0,0,2.127389903,2.060230733,HDAC2
DNA-binding Transcription Factor Binding (GO:0140297),2/282,0.3932076931,0.4664864421,0,0,1.49118541,1.391898298,HDAC2;AHR
Protein Homodimerization Activity (GO:0042803),4/662,0.3932197105,0.4664864421,0,0,1.271706092,1.186993633,SHMT1;CHRNA7;AOX1;AHR
Carboxylic Ester Hydrolase Activity (GO:0052689),1/104,0.3944977937,0.4664864421,0,0,2.023607563,1.882241842,PLA2G2A
Monoatomic Cation Channel Activity (GO:0005261),1/105,0.3974193912,0.4665358071,0,0,2.004048583,1.849262193,CHRNA7
Cysteine-Type Endopeptidase Activity (GO:0004197),1/106,0.4003270379,0.4665682024,0,0,1.984862155,1.817088647,CTSL
Serine-Type Endopeptidase Activity (GO:0004252),1/125,0.4530075218,0.5241944181,0,0,1.679117148,1.329603119,KLK3
Endopeptidase Activity (GO:0004175),2/335,0.4797646528,0.5512189628,0,0,1.250463229,0.9184147255,CTSL;KLK3
G Protein-Coupled Receptor Binding (GO:0001664),1/140,0.4913393064,0.5605420256,0,0,1.496781522,1.063643391,AGTR1
Serine-Type Peptidase Activity (GO:0008236),1/142,0.4962450985,0.562179762,0,0,1.475401269,1.033792016,KLK3
Cysteine-Type Peptidase Activity (GO:0008234),1/144,0.5011040646,0.5637420727,0,0,1.454619065,1.005056658,CTSL
Actin Binding (GO:0003779),1/183,0.5871015885,0.6559341885,0,0,1.140659341,0.6074665844,KCNMA1
GTPase Activator Activity (GO:0005096),1/211,0.639627444,0.7097236022,0,0,0.9871679198,0.441135127,HTR2B
