Term,Adjusted P-value_insilico,Genes_insilico,Adjusted P-value_invivo,Genes_invivo,Adjusted P-value_clinical,Genes_clinical
Monoamine Transmembrane Transporter Activity (GO:0008504),1.26E-05,SLC22A3;SLC22A2;SLC18A2;SLC6A3,2.14E-05,SLC22A3;SLC6A2;SLC6A3;SLC6A4,1.69E-03,SLC6A2;SLC6A4
G Protein-Coupled Receptor Binding (GO:0001664),5.01E-03,GNAZ;GNA14;GNA15;GNA11;GNAQ,5.33E-01,GNAZ,1.69E-03,GNAO1;GNAZ;NPB;GNAT2
Sodium:Chloride Symporter Activity (GO:0015378),1.41E-02,SLC6A3;SLC18A2,1.07E-03,SLC6A2;SLC6A3;SLC6A4,2.26E-03,SLC6A2;SLC6A4
Steroid Hydroxylase Activity (GO:0008395),2.63E-02,CYP11A1;CYP1A1,3.52E-02,CYP27A1;CYP11B2,3.92E-06,CYP2C9;CYP1A2;CYP1A1;CYP2C19
Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843),2.63E-02,KCNH2;KCNJ11;KCNMA1,3.75E-01,KCNJ11,2.11E-01,OPRM1
GTPase Activity (GO:0003924),2.80E-02,GNAZ;GNA14;GNA15;GNA11;GNAQ,7.68E-01,GNAZ,6.18E-02,GNAO1;GNAZ;GNAT2
Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),2.80E-02,GNAZ;GNA14;GNA15;GNA11;GNAQ,7.71E-01,GNAZ,6.26E-02,GNAO1;GNAZ;GNAT2
Epinephrine Binding (GO:0051379),7.90E-02,ADRB3,5.02E-03,ADRA2C;ADRA2B,2.77E-06,ADRA2C;ADRA2B;DRD4
Purine Ribonucleoside Triphosphate Binding (GO:0035639),1.13E-01,GNA14;GNA15;KCNJ11;GNA11;GNAQ,9.08E-01,KCNJ11,3.51E-01,ABCB1;GNAT2
Heme Binding (GO:0020037),1.16E-01,CYP11A1;NR1D1,1.32E-01,CYP27A1;CYP11B2,4.35E-04,CYP2C9;CYP1A2;CYP2E1;CYP2C19
Alkali Metal Ion Binding (GO:0031420),1.22E-01,KCNJ11,2.22E-02,KCNJ11;SLC6A4,7.21E-02,SLC6A4
G Protein-Coupled Receptor Activity (GO:0004930),1.49E-01,P2RY12;GNRHR2;HTR1E,3.87E-01,ADORA3;DRD1,1.60E-03,TAS2R60;OPRD1;GNAT2;HTR1E;OPRM1
Monocarboxylic Acid Binding (GO:0033293),1.75E-01,UGT2B15,1.99E-01,AKR1C3,1.06E-01,UGT1A4
Sequence-Specific Double-Stranded DNA Binding (GO:1990837),2.42E-01,KCNH2;THRA;CYP1A1;NR1D1;ESR1,8.67E-01,ADRA2A;NR3C2,5.05E-01,CYP1A1;ADRA2A
Voltage-Gated Calcium Channel Activity (GO:0005245),2.43E-01,SCN5A,1.67E-02,SCN10A;SCN5A;SCN2A,1.43E-01,OPRM1
GTPase Regulator Activity (GO:0030695),3.21E-01,P2RY12;GNAQ;ALDH1A1,6.32E-01,TBXA2R;SLC6A2,3.04E-01,RANBP2;SLC6A2
ATPase Binding (GO:0051117),3.24E-01,ESR1,3.68E-01,DERL1,2.08E-01,DERL1
Ubiquitin Protein Ligase Binding (GO:0031625),3.74E-01,KCNH2;SCN5A,4.19E-01,DERL1;SCN5A,4.96E-01,DERL1
Ubiquitin-Like Protein Ligase Binding (GO:0044389),4.00E-01,KCNH2;SCN5A,4.43E-01,DERL1;SCN5A,5.05E-01,DERL1
Protein Homodimerization Activity (GO:0042803),5.97E-01,KCNH2;NQO2;ADRB3,6.23E-02,CAMK2B;CAMK2D;MME;CAMK2A;FYN;ADRA2C;CAMK2G;ADRA2A,1.51E-02,NTRK1;NTRK2;UGT1A4;ADRA2C;ADRA2A;ABCG2
Actin Binding (GO:0003779),6.07E-01,KCNMA1,6.29E-01,SLC6A2,4.01E-01,SLC6A2
Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),6.35E-01,P2RY12,3.18E-01,TBXA2R;SLC6A2,4.22E-01,SLC6A2
Kinase Binding (GO:0019900),6.35E-01,SCN5A;ESR1,4.17E-01,DLG4;SCN5A;ADRA2A,3.38E-01,CRK;ADRA2A
Protein Kinase Binding (GO:0019901),6.93E-01,SCN5A;ESR1,7.41E-01,SCN5A;ADRA2A,3.82E-01,CRK;ADRA2A
ATP Binding (GO:0005524),7.33E-01,KCNJ11,7.79E-01,KCNJ11,5.02E-01,ABCB1
Adenyl Ribonucleotide Binding (GO:0032559),7.64E-01,KCNJ11,8.14E-01,KCNJ11,5.24E-01,ABCB1
Double-Stranded DNA Binding (GO:0003690),7.73E-01,NR1D1;ESR1,8.31E-01,ADRA2A;NR3C2,7.81E-01,ADRA2A
RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977),7.73E-01,MGAM;THRA;NR1D1;ESR1,9.26E-01,CYP27B1;ADRA2A;ESR2,9.38E-01,ADRA2A
Sequence-Specific DNA Binding (GO:0043565),8.03E-01,NR1D1;ESR1,8.67E-01,ADRA2A;NR3C2,8.07E-01,ADRA2A
