,gene,eff_coef_full,eff_coef_ridge
250,ABCG2,0.2248771919,0.1932677564
88,SLC6A4,0.1668008126,0.1521593494
60,CYP1A2,0.06508842565,0.06308955013
89,SLC6A2,0.05843067668,0.05599059968
87,ABCB1,0.06512280812,0.05037517036
84,CYP2C19,0.05319918743,0.04540229618
245,TAS2R60,0.041345388,0.0383937791
241,OXGR1,0.04070615513,0.0376904142
243,XCL2,0.04070615513,0.0376904142
130,HTR1D,0.03293403983,0.03226485048
193,HTR5A,0.03293403983,0.03226485048
207,HTR1E,0.03293403983,0.03226485048
227,HTR1F,0.03293403983,0.03226485048
40,GNG2,0.03493998965,0.03178435681
119,FPR3,0.02571037893,0.02269773001
13,CYP2C9,0.0155401522,0.02091960709
80,CYP2E1,0.02125780394,0.0170805272
242,ADRA2B,0.01730884022,0.0166711969
244,GNAZ,0.01730884022,0.0166711969
246,DRD4,0.01730884022,0.0166711969
247,ADRA2C,0.01730884022,0.0166711969
248,ADRA2A,0.01730884022,0.0166711969
79,CHRNA3,0.01778884438,0.01401870822
36,LPAR4,0.013325319,0.01312271749
301,NTRK2,0.01344585369,0.01263510622
302,UGT1A4,0.01344585369,0.01263510622
303,IRS2,0.01344585369,0.01263510622
304,CRK,0.01344585369,0.01263510622
305,OPRM1,0.01344585369,0.01263510622
306,NGF,0.01344585369,0.01263510622
307,GPR132,0.01344585369,0.01263510622
309,SHC2,0.01344585369,0.01263510622
310,OPRD1,0.01344585369,0.01263510622
311,SHC3,0.01344585369,0.01263510622
312,GNAO1,0.01344585369,0.01263510622
313,AP1M1,0.01344585369,0.01263510622
314,NPB,0.01344585369,0.01263510622
315,GNAT2,0.01344585369,0.01263510622
317,NTRK1,0.01344585369,0.01263510622
318,DERL1,0.01344585369,0.01263510622
319,RANBP2,0.01344585369,0.01263510622
208,TAS2R8,0.01243051894,0.01112116421
212,TAS2R7,0.01243051894,0.01112116421
240,CYP1A1,0.01098296878,0.01030597263
112,CDC45,0.009246813404,0.009640719538
38,ANXA1,0.01048491142,0.00942846474
39,RLN3,0.01048491142,0.00942846474
5,MTNR1B,0.01220193179,0.009086626801
64,MTNR1A,0.009546625334,0.009086626801
75,GNRHR2,0.009546625334,0.009086626801
90,LAT,0.008733540003,0.007978158872
92,ATM,0.008733540003,0.007978158872
93,KRT10,0.008733540003,0.007978158872
94,APOA2,0.008733540003,0.007978158872
95,APOC3,0.008733540003,0.007978158872
97,KRT16,0.008733540003,0.007978158872
98,PALB2,0.008733540003,0.007978158872
99,KRT1,0.008733540003,0.007978158872
100,KRT6B,0.008733540003,0.007978158872
101,APOA4,0.008733540003,0.007978158872
102,KRT13,0.008733540003,0.007978158872
104,APOC2,0.008733540003,0.007978158872
106,KRT14,0.008733540003,0.007978158872
107,APOC1,0.008733540003,0.007978158872
108,DMD,0.008733540003,0.007978158872
109,KRT6A,0.008733540003,0.007978158872
111,KRT5,0.008733540003,0.007978158872
113,APOA1,0.008733540003,0.007978158872
110,CTSL,0.007309710046,0.007278529716
91,ALB,0.008087575998,0.007274793969
96,KRT9,0.008087575998,0.007274793969
233,KCNH2,0.007630557666,0.007240417903
9,XCL1,0.005471791873,0.006993788858
30,GPR65,0.004861619104,0.006993788858
37,GNRH2,0.004861619104,0.006993788858
51,GPR4,0.004861619104,0.006993788858
249,TAS2R9,0.00526887478,0.005891870628
81,HTR3A,0.007835339531,0.00560157177
82,CYP2B6,0.0007578957138,0.002089521994
251,IAPP,0.001459502777,0.001855779942
253,SCTR,0.001459502777,0.001855779942
254,HRH2,0.001459502777,0.001855779942
255,INSL3,0.001459502777,0.001855779942
256,CGA,0.001459502777,0.001855779942
257,FSHB,0.001459502777,0.001855779942
258,GLP2R,0.001459502777,0.001855779942
259,VIP,0.001459502777,0.001855779942
260,GPBAR1,0.001459502777,0.001855779942
261,GHRHR,0.001459502777,0.001855779942
262,RAMP2,0.001459502777,0.001855779942
263,TAAR1,0.001459502777,0.001855779942
264,LHCGR,0.001459502777,0.001855779942
265,CALCB,0.001459502777,0.001855779942
266,RAMP1,0.001459502777,0.001855779942
267,GCG,0.001459502777,0.001855779942
268,RLN2,0.001459502777,0.001855779942
269,GHRH,0.001459502777,0.001855779942
270,RXFP2,0.001459502777,0.001855779942
271,CYP2C8,0.001459502777,0.001855779942
272,PTHLH,0.001459502777,0.001855779942
273,HTR6,0.001459502777,0.001855779942
274,TSHB,0.001459502777,0.001855779942
275,GNAS,0.001459502777,0.001855779942
